Date;Quarter;Qtr;Year;Customer ID;"Total_amount";"Profit Percentage(%)";Profit (INR);Cost Price
1/22/2018;2018 - Q1;1;2018;B07FWVVYW;680;17;101.15;493.85
1/23/2018;2018 - Q1;1;2018;B07FWXUQY;680;17;101.15;493.85
1/23/2018;2018 - Q1;1;2018;B07FWYWVR;550;13;60.45;404.55
1/23/2018;2018 - Q1;1;2018;B07FWVXWR;584;17;84.83;414.17
1/24/2018;2018 - Q1;1;2018;B07FWVYTY;984;17;152.83;746.17
1/24/2018;2018 - Q1;1;2018;B07FWWSRT;680;17;101.15;493.85
1/24/2018;2018 - Q1;1;2018;B07FWXUXW;680;17;101.15;493.85
1/24/2018;2018 - Q1;1;2018;B07FWXSUY;680;17;101.15;493.85
1/24/2018;2018 - Q1;1;2018;B07FWWBUR;680;17;101.15;493.85
1/25/2018;2018 - Q1;1;2018;B07FWVVUU;695;17;103.7;506.3
1/25/2018;2018 - Q1;1;2018;B07FWWXTT;695;17;103.7;506.3
1/25/2018;2018 - Q1;1;2018;B07FWVXUY;695;17;103.7;506.3
1/25/2018;2018 - Q1;1;2018;B07FWWYQZ;700;17;104.55;510.45
1/25/2018;2018 - Q1;1;2018;B07FWYUYW;685;17;102;498
1/25/2018;2018 - Q1;1;2018;B07FWYWWZ;984;17;152.83;746.17
1/25/2018;2018 - Q1;1;2018;B07FWYWYQ;550;13;60.45;404.55
1/25/2018;2018 - Q1;1;2018;B07FWXVTT;775;13;89.7;600.3
1/25/2018;2018 - Q1;1;2018;B07FWXXQV;535;17;76.5;373.5
1/26/2018;2018 - Q1;1;2018;B07FWVYQW;700;17;104.55;510.45
1/26/2018;2018 - Q1;1;2018;B07FWXUWZ;300;17;36.55;178.45
1/26/2018;2018 - Q1;1;2018;B07FWWUUU;700;17;104.55;510.45
1/26/2018;2018 - Q1;1;2018;B07FWVZUR;730;13;83.85;561.15
1/26/2018;2018 - Q1;1;2018;B07FWXVTW;700;17;104.55;510.45
1/26/2018;2018 - Q1;1;2018;B07FWVBXW;695;17;103.7;506.3
1/26/2018;2018 - Q1;1;2018;B07FWVVUZ;310;18;40.5;184.5
1/26/2018;2018 - Q1;1;2018;B07FWWZXX;695;17;103.7;506.3
1/27/2018;2018 - Q1;1;2018;B07FWXVWW;300;17;36.55;178.45
1/27/2018;2018 - Q1;1;2018;B07FWWWWW;300;17;36.55;178.45
1/27/2018;2018 - Q1;1;2018;B07FWXUQU;300;17;36.55;178.45
1/27/2018;2018 - Q1;1;2018;B07FWYWTV;300;17;36.55;178.45
1/27/2018;2018 - Q1;1;2018;B07FWXAYS;300;17;36.55;178.45
1/27/2018;2018 - Q1;1;2018;B07FWVAVV;300;17;36.55;178.45
1/27/2018;2018 - Q1;1;2018;B07FWXXUQ;310;18;40.5;184.5
1/27/2018;2018 - Q1;1;2018;B07FWXVRU;550;13;60.45;404.55
1/28/2018;2018 - Q1;1;2018;B07FWXVQU;695;17;103.7;506.3
1/28/2018;2018 - Q1;1;2018;B07FWWTRW;695;17;103.7;506.3
1/28/2018;2018 - Q1;1;2018;B07FWYWSS;775;13;89.7;600.3
1/28/2018;2018 - Q1;1;2018;B07FWVYZQ;300;17;36.55;178.45
1/29/2018;2018 - Q1;1;2018;B07FWYVYU;695;17;103.7;506.3
1/30/2018;2018 - Q1;1;2018;B07FWVXYQ;842;13;98.41;658.59
1/30/2018;2018 - Q1;1;2018;B07FWVVRR;390;17;51.85;253.15
1/30/2018;2018 - Q1;1;2018;B07FWVVYQ;695;13;79.3;530.7
1/31/2018;2018 - Q1;1;2018;B07FWXZTT;695;13;79.3;530.7
1/31/2018;2018 - Q1;1;2018;B07FWWBZQ;1684;13;196.82;1317.18
1/31/2018;2018 - Q1;1;2018;B07FWWYRT;695;13;79.3;530.7
1/31/2018;2018 - Q1;1;2018;B07FWXZVZ;1084;13;129.87;869.13
2/1/2018;2018 - Q1;1;2018;B07FWXWYZ;710;13;81.25;543.75
2/2/2018;2018 - Q1;1;2018;B07FWYVYU;695;17;103.7;506.3
2/3/2018;2018 - Q1;1;2018;B07FWXBYY;1044;18;172.62;786.38
2/4/2018;2018 - Q1;1;2018;B07FWXZYW;285;17;34;166
2/5/2018;2018 - Q1;1;2018;B07FWWSYU;984;13;116.87;782.13
2/5/2018;2018 - Q1;1;2018;B07FWVXUT;661;17;97.92;478.08
2/5/2018;2018 - Q1;1;2018;B07FWVYWU;393;13;40.04;267.96
2/6/2018;2018 - Q1;1;2018;B07FWXTVS;995;13;118.3;791.7
2/6/2018;2018 - Q1;1;2018;B07FWYBZY;661;17;97.92;478.08
2/6/2018;2018 - Q1;1;2018;B07FWXVXT;860;13;100.75;674.25
2/6/2018;2018 - Q1;1;2018;B07FWYUST;650;13;73.45;491.55
2/6/2018;2018 - Q1;1;2018;B07FWVYUW;730;13;83.85;561.15
2/6/2018;2018 - Q1;1;2018;B07FWVZSV;808;13;93.99;629.01
2/6/2018;2018 - Q1;1;2018;B07FWXAYW;808;13;93.99;629.01
2/7/2018;2018 - Q1;1;2018;B07FWXAZV;1044;18;172.62;786.38
2/7/2018;2018 - Q1;1;2018;B07FWYTYX;661;17;97.92;478.08
2/8/2018;2018 - Q1;1;2018;B07FWYZXY;515;17;73.1;356.9
2/8/2018;2018 - Q1;1;2018;B07FWYTSZ;470;13;50.05;334.95
2/8/2018;2018 - Q1;1;2018;B07FWXYSR;470;13;50.05;334.95
2/9/2018;2018 - Q1;1;2018;B07FWXYSQ;579;13;64.22;429.78
2/9/2018;2018 - Q1;1;2018;B07FWXBUQ;730;13;83.85;561.15
2/9/2018;2018 - Q1;1;2018;B07FWXYTQ;470;13;50.05;334.95
2/9/2018;2018 - Q1;1;2018;B07FWXAQU;700;17;104.55;510.45
2/9/2018;2018 - Q1;1;2018;B07FWVZRY;700;17;104.55;510.45
2/10/2018;2018 - Q1;1;2018;B07FWYVYW;515;17;73.1;356.9
2/10/2018;2018 - Q1;1;2018;B07FWVWVZ;661;17;97.92;478.08
2/10/2018;2018 - Q1;1;2018;B07FWVVRT;995;13;118.3;791.7
2/10/2018;2018 - Q1;1;2018;B07FWWUYZ;730;13;83.85;561.15
2/11/2018;2018 - Q1;1;2018;B07FWXVWQ;842;13;98.41;658.59
