work_year;job_title;job_category;salary_currency;salary;employee_residence;experience_level;company_location;company_size
2023;Analytics Engineer;Leadership and Management;USD;143860;United States;Senior;United States;M
2023;Research Scientist;Data Science and Research;USD;283050;United States;Senior;United States;M
2023;Research Scientist;Data Science and Research;USD;188700;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;133000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;58400;United States;Mid-level;United States;M
2023;Research Engineer;Data Science and Research;USD;141298;United States;Senior;United States;M
2023;Research Engineer;Data Science and Research;USD;115607;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;100000;United States;Entry-level;United States;M
2023;Data Analyst;Data Analysis;USD;75000;United States;Entry-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;266500;Canada;Senior;Canada;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;144400;Canada;Senior;Canada;M
2023;Data Engineer;Data Engineering;GBP;58000;United Kingdom;Senior;United Kingdom;M
2023;Data Engineer;Data Engineering;GBP;45000;United Kingdom;Senior;United Kingdom;M
2023;Research Scientist;Data Science and Research;USD;287500;United States;Senior;United States;M
2023;Research Scientist;Data Science and Research;USD;156000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;90000;United States;Mid-level;United States;M
2023;Data Analyst;Data Analysis;USD;70000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;199000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;162000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;170884;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;113923;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;184000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;123000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;235750;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;174250;United States;Senior;United States;M
2023;Research Scientist;Data Science and Research;USD;165000;United States;Mid-level;United States;M
2023;Research Scientist;Data Science and Research;USD;118800;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;225000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;150000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;213900;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;116800;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;220000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;150000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;150000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;100000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;247500;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;172200;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;155000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;120000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;226700;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;133300;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;184000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;123000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;130000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;117000;United States;Senior;United States;M
2023;Data Science Engineer;Data Science and Research;USD;160000;United States;Senior;United States;M
2023;Data Science Engineer;Data Science and Research;USD;140000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;166000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;73000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;185900;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;129300;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;130000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;104000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;143000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;116000;United States;Senior;United States;M
2023;Research Scientist;Data Science and Research;USD;165000;United States;Mid-level;United States;M
2023;Research Scientist;Data Science and Research;USD;118800;United States;Mid-level;United States;M
2023;Research Scientist;Data Science and Research;USD;220000;United States;Mid-level;United States;M
2023;Research Scientist;Data Science and Research;USD;180000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;184000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;123000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;215000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;200000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;253000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;131000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;220000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;176000;United States;Senior;United States;M
2023;Data Quality Analyst;Data Quality and Operations;GBP;40000;United Kingdom;Entry-level;United Kingdom;M
2023;Data Quality Analyst;Data Quality and Operations;GBP;30000;United Kingdom;Entry-level;United Kingdom;M
2023;Data Scientist;Data Science and Research;USD;210000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;147000;United States;Senior;United States;M
2023;Data Product Manager;Leadership and Management;USD;186000;United States;Mid-level;United States;M
2023;Data Product Manager;Leadership and Management;USD;161000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;205000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;152000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;220000;Canada;Mid-level;Canada;M
2023;Data Engineer;Data Engineering;USD;190000;Canada;Mid-level;Canada;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;205000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;152000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;137000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;110000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;172000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;146000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;148000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;99000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;150000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;130000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;105000;United States;Entry-level;United States;M
2023;Data Engineer;Data Engineering;USD;99000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;52500;United States;Senior;United States;M
2023;Machine Learning Scientist;Machine Learning and AI;USD;180514;United States;Senior;United States;M
2023;Machine Learning Scientist;Machine Learning and AI;USD;108308;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;210000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;147000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;290300;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;196685;United States;Senior;United States;M
2023;AI Engineer;Machine Learning and AI;USD;220000;United States;Senior;United States;M
2023;AI Engineer;Machine Learning and AI;USD;176000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;175000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;130000;United States;Mid-level;United States;M
2023;Data Architect;Data Architecture and Modeling;USD;185000;United States;Senior;United States;M
2023;Data Architect;Data Architecture and Modeling;USD;150000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;145000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;115000;United States;Senior;United States;M
2023;MLOps Engineer;Machine Learning and AI;USD;133000;United States;Entry-level;United States;M
2023;MLOps Engineer;Machine Learning and AI;USD;58300;United States;Entry-level;United States;M
2023;Analytics Engineer;Leadership and Management;USD;115000;United States;Senior;United States;M
2023;Analytics Engineer;Leadership and Management;USD;95000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;GBP;89600;United Kingdom;Mid-level;United Kingdom;M
2023;Data Engineer;Data Engineering;GBP;32000;United Kingdom;Mid-level;United Kingdom;M
2023;Data Scientist;Data Science and Research;EUR;40000;Spain;Entry-level;Spain;M
2023;Data Scientist;Data Science and Research;EUR;29000;Spain;Entry-level;Spain;M
2023;Data Analyst;Data Analysis;GBP;75000;United Kingdom;Entry-level;United Kingdom;M
2023;Data Analyst;Data Analysis;GBP;55000;United Kingdom;Entry-level;United Kingdom;M
2023;Data Analyst;Data Analysis;GBP;75000;United Kingdom;Entry-level;United Kingdom;M
2023;Data Analyst;Data Analysis;GBP;55000;United Kingdom;Entry-level;United Kingdom;M
2023;Data Scientist;Data Science and Research;EUR;70000;Ireland;Senior;Ireland;L
2023;Deep Learning Engineer;Machine Learning and AI;CAD;409500;Canada;Senior;Canada;M
2023;Deep Learning Engineer;Machine Learning and AI;CAD;135000;Canada;Senior;Canada;M
2023;Data Engineer;Data Engineering;USD;230300;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;140000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;124935;South Africa;Senior;South Africa;M
2023;Data Engineer;Data Engineering;USD;76050;South Africa;Senior;South Africa;M
2023;Data Scientist;Data Science and Research;USD;224800;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;131100;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;258000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;171000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;196000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;121000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;195800;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;171500;United States;Senior;United States;M
2023;Data Modeler;Data Architecture and Modeling;USD;166000;United States;Mid-level;United States;M
2023;Data Modeler;Data Architecture and Modeling;USD;73100;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;220000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;160000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;85000;United States;Entry-level;United States;M
2023;Data Scientist;Data Science and Research;USD;65000;United States;Entry-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;220000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;100000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;185000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;152000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;220000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;100000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;EUR;45000;Spain;Senior;Spain;M
2023;Data Scientist;Data Science and Research;EUR;36000;Spain;Senior;Spain;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;220000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;100000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;220000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;100000;United States;Mid-level;United States;M
2023;Research Engineer;Data Science and Research;USD;220000;United States;Mid-level;United States;M
2023;Research Engineer;Data Science and Research;USD;100000;United States;Mid-level;United States;M
2023;Data Analyst;Data Analysis;USD;110000;Poland;Senior;Poland;M
2023;Data Analyst;Data Analysis;USD;80000;Poland;Senior;Poland;M
2023;Data Analyst;Data Analysis;GBP;30000;United Kingdom;Senior;United Kingdom;S
2023;Data Scientist;Data Science and Research;USD;150200;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;71000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;167200;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;121000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;133000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;58400;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;135000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;110000;United States;Mid-level;United States;M
2023;Data Product Owner;Leadership and Management;GBP;85000;United Kingdom;Mid-level;United Kingdom;M
2023;Data Product Owner;Leadership and Management;GBP;60000;United Kingdom;Mid-level;United Kingdom;M
2023;Data Scientist;Data Science and Research;USD;187415;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;114080;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;187415;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;114080;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;166000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;73100;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;306400;Canada;Senior;Canada;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;168700;Canada;Senior;Canada;M
2023;Data Scientist;Data Science and Research;USD;187415;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;114080;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;GBP;26800;United Kingdom;Entry-level;United Kingdom;M
2023;Data Analyst;Data Analysis;GBP;26800;United Kingdom;Entry-level;United Kingdom;M
2023;Data Analyst;Data Analysis;USD;165000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;140000;United States;Senior;United States;M
2023;Analytics Engineer;Leadership and Management;USD;150000;United States;Mid-level;United States;M
2023;Data Analyst;Data Analysis;USD;167000;United States;Mid-level;United States;M
2023;Data Analyst;Data Analysis;USD;121000;United States;Mid-level;United States;M
2023;Business Intelligence Engineer;BI and Visualization;USD;185000;United States;Mid-level;United States;L
2023;Business Intelligence Engineer;BI and Visualization;USD;79600;United States;Mid-level;United States;L
2023;Data Scientist;Data Science and Research;USD;190200;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;95100;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;133000;United States;Entry-level;United States;M
2023;Data Analyst;Data Analysis;USD;58400;United States;Entry-level;United States;M
2023;Data Engineer;Data Engineering;USD;90000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;70000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;166000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;73100;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;135000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;100000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;180514;United Kingdom;Senior;United Kingdom;M
2023;Data Engineer;Data Engineering;USD;108308;United Kingdom;Senior;United Kingdom;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;294000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;192000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;266000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;167000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;200000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;150000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;163800;United States;Entry-level;United States;M
2023;Data Analyst;Data Analysis;USD;88200;United States;Entry-level;United States;M
2023;Data Analyst;Data Analysis;USD;180400;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;138800;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;GBP;55000;United Kingdom;Mid-level;United Kingdom;M
2023;Data Analyst;Data Analysis;GBP;45000;United Kingdom;Mid-level;United Kingdom;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;319000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;206000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;215000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;142000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;266000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;167000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;140130;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;84870;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;178300;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;105400;United States;Mid-level;United States;M
2023;Applied Scientist;Data Science and Research;USD;222200;United States;Mid-level;United States;L
2023;Applied Scientist;Data Science and Research;USD;136000;United States;Mid-level;United States;L
2023;Machine Learning Engineer;Machine Learning and AI;USD;215000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;142000;United States;Senior;United States;M
2023;Research Scientist;Data Science and Research;USD;240000;United States;Senior;United States;M
2023;Research Scientist;Data Science and Research;USD;210000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;122000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;94500;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;150000;United States;Mid-level;United States;M
2023;Data Science Consultant;Data Science and Research;USD;116000;United States;Senior;United States;M
2023;Data Science Consultant;Data Science and Research;USD;90000;United States;Senior;United States;M
2023;Data Science Consultant;Data Science and Research;USD;145000;United States;Senior;United States;M
2023;Data Science Consultant;Data Science and Research;USD;128000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;154000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;126000;United States;Senior;United States;M
2023;Machine Learning Scientist;Machine Learning and AI;USD;240000;United States;Senior;United States;M
2023;Machine Learning Scientist;Machine Learning and AI;USD;157250;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;219650;United States;Executive;United States;M
2023;Data Engineer;Data Engineering;USD;136000;United States;Executive;United States;M
2023;Data Scientist;Data Science and Research;USD;150000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;180000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;125000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;247600;United States;Senior;United States;L
2023;Data Scientist;Data Science and Research;USD;127300;United States;Senior;United States;L
2023;Data Scientist;Data Science and Research;USD;60000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;55000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;250000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;125000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;190000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;170000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;202600;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;168800;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;132000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;111000;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;203000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;127000;United States;Senior;United States;M
2023;Business Intelligence Analyst;BI and Visualization;USD;125009;United States;Mid-level;United States;M
2023;Business Intelligence Analyst;BI and Visualization;USD;83339;United States;Mid-level;United States;M
2023;Data Analyst;Data Analysis;USD;112200;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;91800;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;200000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;160000;United States;Senior;United States;M
2023;AI Developer;Machine Learning and AI;EUR;150000;France;Senior;France;M
2023;Data Architect;Data Architecture and Modeling;USD;185000;United States;Senior;United States;M
2023;Data Architect;Data Architecture and Modeling;USD;150000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;160000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;130000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;145000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;115000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;133000;United States;Entry-level;United States;M
2023;Data Scientist;Data Science and Research;USD;58300;United States;Entry-level;United States;M
2023;Data Engineer;Data Engineering;USD;254000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;159000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;170000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;85000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;130500;United States;Mid-level;United States;M
2023;Data Scientist;Data Science and Research;USD;116000;United States;Mid-level;United States;M
2023;Research Analyst;Data Science and Research;USD;81400;United States;Entry-level;United States;M
2023;Research Analyst;Data Science and Research;USD;43500;United States;Entry-level;United States;M
2023;Data Engineer;Data Engineering;USD;169000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;92000;United States;Mid-level;United States;M
2023;Data Analyst;Data Analysis;USD;166000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;73100;United States;Senior;United States;M
2023;Research Scientist;Data Science and Research;USD;190000;United States;Senior;United States;M
2023;Research Scientist;Data Science and Research;USD;165000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;305600;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;146600;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;150000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;120000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;275000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;146400;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;208500;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;165000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;258700;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;172500;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;150000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;130000;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;185000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;150000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;166000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;73100;United States;Senior;United States;M
2023;Business Intelligence Analyst;BI and Visualization;USD;198200;United States;Senior;United States;M
2023;Business Intelligence Analyst;BI and Visualization;USD;110200;United States;Senior;United States;M
2023;Machine Learning Researcher;Machine Learning and AI;USD;166000;United States;Senior;United States;M
2023;Machine Learning Researcher;Machine Learning and AI;USD;73100;United States;Senior;United States;M
2023;Machine Learning Researcher;Machine Learning and AI;USD;212000;United States;Senior;United States;M
2023;Machine Learning Researcher;Machine Learning and AI;USD;93300;United States;Senior;United States;M
2023;AI Engineer;Machine Learning and AI;USD;212000;United States;Senior;United States;M
